item_id	run_index	run_label	tool_called	call_count	notes
cc-15:CC-15-15	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-15:CC-15-15	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-01	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-01	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-01	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-02	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-02	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-02	3	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-19:CC-19-03	1	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-19:CC-19-03	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-03	3	VISION_EXP_INSPECT_DRAWING_RUN_1	generic-vision	1	
cc-19:CC-19-04	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-04	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-04	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-05	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-05	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-05	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-06	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-06	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-06	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-07	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-07	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-07	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-08	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-08	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-08	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-09	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-09	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-09	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-10	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-10	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-10	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-11	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-11	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-11	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-12	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-12	2	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-12	3	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
cc-19:CC-19-13	1	VISION_EXP_INSPECT_DRAWING_RUN_1	none	0	
